City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,ortigueira,-24.2083,-50.9494,63.03,100,53,1.74,BR,1615007269
167,vila franca do campo,37.7167,-25.4333,50.0,87,20,4.61,PT,1615007269
168,havoysund,70.9963,24.6622,24.8,100,75,1.14,NO,1615006897
169,belmonte,-15.8631,-38.8828,75.2,78,0,4.61,BR,1615006782
170,uyuni,-20.4597,-66.825,49.37,57,69,5.97,BO,1615006918
171,katete,-0.7818,29.7544,64.36,93,100,1.77,UG,1615007270
172,grajau,-5.8194,-46.1386,72.34,94,92,2.89,BR,1615007270
173,damghan,36.1683,54.348,43.48,59,0,5.19,IR,1615007235
174,kamoke,31.9744,74.2244,73.4,43,40,6.91,PK,1615007271
175,wejherowo,54.6057,18.2356,26.01,93,0,1.14,PL,1615007272
176,noumea,-22.2763,166.4572,86.0,74,90,39.12,NC,1615006753
177,canto do buriti,-8.11,-42.9444,72.0,88,19,2.62,BR,1615007272
178,neiafu,-18.65,-173.9833,82.4,78,75,3.44,TO,1615007273
179,port elizabeth,-33.918,25.5701,68.0,88,0,10.36,ZA,1615006793
180,hambantota,6.1241,81.1185,87.8,70,20,6.91,LK,1615007273
181,marsh harbour,26.5412,-77.0636,69.89,62,94,14.58,BS,1615007117
182,ust-kuyga,70.0167,135.6,-16.22,84,100,4.9,RU,1615006889
183,viseu,40.661,-7.9097,48.0,85,0,4.0,PT,1615007274
184,lasa,46.6166,10.7002,36.0,86,0,4.61,IT,1615006862
185,cayenne,4.9333,-52.3333,80.01,94,90,1.14,GF,1615007275
186,dwarka,22.2394,68.9678,81.48,54,0,8.23,IN,1615006922
187,quelimane,-17.8786,36.8883,75.88,94,69,4.63,MZ,1615007276
188,qaqortoq,60.7167,-46.0333,42.8,36,90,13.8,GL,1615007276
189,tuatapere,-46.1333,167.6833,63.0,54,100,7.0,NZ,1615006890
190,victoria,22.2855,114.1577,73.0,89,77,1.01,HK,1615006669
191,shimoda,34.6667,138.95,57.99,100,75,9.22,JP,1615007277
192,acarau,-2.8856,-40.12,78.94,81,99,9.33,BR,1615007277
193,bhuj,23.2667,69.6667,87.22,27,0,8.1,IN,1615007277
194,saldanha,-33.0117,17.9442,60.8,88,5,5.75,ZA,1615006835
195,sulphur,30.2366,-93.3774,57.2,82,90,10.36,US,1615007278
196,san patricio,28.017,-97.5169,68.0,34,1,12.66,US,1615006879
197,svetlogorsk,52.6333,29.7333,21.76,92,11,6.11,BY,1615007278
198,berlevag,70.8578,29.0864,22.05,93,100,12.55,NO,1615007279
199,sorland,67.667,12.6934,29.34,95,100,39.59,NO,1615007279
200,rawson,-43.3002,-65.1023,74.73,56,1,26.73,AR,1615006907
201,suhbaatar,50.2314,106.2078,21.88,88,0,4.32,MN,1615007280
202,alice springs,-23.7,133.8833,95.0,10,0,8.05,AU,1615007280
203,kachiry,53.0675,76.1036,27.52,95,100,24.25,KZ,1615007280
204,bandarbeyla,9.4942,50.8122,77.4,70,84,14.45,SO,1615006852
205,caravelas,-17.7125,-39.2481,75.31,85,71,9.1,BR,1615006882
206,provideniya,64.3833,-173.3,-14.71,87,72,6.13,RU,1615006841
207,comodoro rivadavia,-45.8667,-67.5,78.8,44,0,17.27,AR,1615006617
208,rocha,-34.4833,-54.3333,65.68,73,100,7.02,UY,1615006586
209,ossora,59.2353,163.0719,-6.65,82,100,6.35,RU,1615007282
210,buraydah,26.326,43.975,50.0,76,20,4.61,SA,1615006783
211,sri aman,1.2376,111.4621,86.0,79,40,4.61,MY,1615007282
212,qui nhon,13.7667,109.2333,81.39,65,0,8.77,VN,1615007282
213,arlit,18.7369,7.3853,71.08,20,7,6.91,NE,1615006513
214,kodiak,57.79,-152.4072,28.4,59,90,18.41,US,1615006775
215,otjiwarongo,-20.4637,16.6477,58.75,65,9,2.64,NA,1615007126
216,anloga,5.7947,0.8973,84.2,84,20,10.36,GH,1615006895
217,znamenskoye,57.1281,73.8282,30.94,98,100,10.6,RU,1615007284
218,marsaxlokk,35.8419,14.5431,55.99,94,20,4.61,MT,1615007284
219,lagos,6.5833,3.75,81.18,83,99,5.93,NG,1615007284
220,ancud,-41.8697,-73.8203,53.01,87,0,2.3,CL,1615006897
221,milford,41.2223,-73.0565,33.8,34,90,6.91,US,1615007281
222,newtownards,54.5924,-5.6909,37.99,70,90,8.05,GB,1615007285
223,alyangula,-13.8483,136.4192,89.6,70,0,12.66,AU,1615007286
224,jalu,29.0331,21.5482,55.15,39,0,12.93,LY,1615006774
225,anadyr,64.75,177.4833,-11.2,64,0,6.71,RU,1615007286
226,big rapids,43.6981,-85.4837,27.0,63,1,6.91,US,1615007287
227,muzhi,65.3667,64.6667,1.96,91,99,4.61,RU,1615007287
228,kropotkin,45.4375,40.5756,37.71,74,82,4.65,RU,1615007287
